YEAR,STATE,DEATHS
2018,Alabama,1064
2018,Alaska,155
2018,Arizona,1147
2018,Arkansas,573
2018,California,3040
2018,Colorado,889
2018,Connecticut,186
2018,Delaware,107
2018,Florida,2902
2018,Georgia,1680
2018,Hawaii,59
2018,Idaho,294
2018,Illinois,1382
2018,Indiana,977
2018,Iowa,282
2018,Kansas,424
2018,Kentucky,762
2018,Louisiana,991
2018,Maine,159
2018,Maryland,707
2018,Massachusetts,258
2018,Michigan,1310
2018,Minnesota,437
2018,Mississippi,681
2018,Missouri,1311
2018,Montana,186
2018,Nebraska,183
2018,Nevada,550
2018,New Hampshire,155
2018,New Jersey,420
2018,New Mexico,438
2018,New York,821
2018,North Carolina,1416
2018,North Dakota,89
2018,Ohio,1555
2018,Oklahoma,665
2018,Oregon,519
2018,Pennsylvania,1654
2018,Rhode Island,37
2018,South Carolina,895
2018,South Dakota,117
2018,Tennessee,1228
2018,Texas,3522
2018,Utah,397
2018,Vermont,82
2018,Virginia,1035
2018,Washington,809
2018,West Virginia,343
2018,Wisconsin,598
2018,Wyoming,124
2017,Alabama,1124
2017,Alaska,180
2017,Arizona,1134
2017,Arkansas,613
2017,California,3184
2017,Colorado,779
2017,Connecticut,188
2017,Delaware,111
2017,Florida,2724
2017,Georgia,1623
2017,Hawaii,39
2017,Idaho,280
2017,Illinois,1543
2017,Indiana,1016
2017,Iowa,293
2017,Kansas,466
2017,Kentucky,730
2017,Louisiana,1008
2017,Maine,172
2017,Maryland,742
2017,Massachusetts,262
2017,Michigan,1138
2017,Minnesota,465
2017,Mississippi,632
2017,Missouri,1307
2017,Montana,244
2017,Nebraska,160
2017,Nevada,508
2017,New Hampshire,146
2017,New Jersey,478
2017,New Mexico,394
2017,New York,772
2017,North Carolina,1430
2017,North Dakota,103
2017,Ohio,1589
2017,Oklahoma,681
2017,Oregon,528
2017,Pennsylvania,1636
2017,Rhode Island,43
2017,South Carolina,893
2017,South Dakota,101
2017,Tennessee,1246
2017,Texas,3513
2017,Utah,410
2017,Vermont,70
2017,Virginia,1041
2017,Washington,849
2017,West Virginia,348
2017,Wisconsin,624
2017,Wyoming,113
2016,Alabama,1046
2016,Alaska,177
2016,Arizona,1094
2016,Arkansas,541
2016,California,3184
2016,Colorado,812
2016,Connecticut,172
2016,Delaware,111
2016,Florida,2704
2016,Georgia,1571
2016,Hawaii,66
2016,Idaho,242
2016,Illinois,1490
2016,Indiana,997
2016,Iowa,288
2016,Kansas,383
2016,Kentucky,772
2016,Louisiana,987
2016,Maine,123
2016,Maryland,707
2016,Massachusetts,242
2016,Michigan,1230
2016,Minnesota,432
2016,Mississippi,587
2016,Missouri,1144
2016,Montana,194
2016,Nebraska,171
2016,Nevada,498
2016,New Hampshire,132
2016,New Jersey,485
2016,New Mexico,383
2016,New York,900
2016,North Carolina,1409
2016,North Dakota,90
2016,Ohio,1524
2016,Oklahoma,766
2016,Oregon,513
2016,Pennsylvania,1555
2016,Rhode Island,49
2016,South Carolina,891
2016,South Dakota,108
2016,Tennessee,1148
2016,Texas,3353
2016,Utah,370
2016,Vermont,78
2016,Virginia,1049
2016,Washington,686
2016,West Virginia,332
2016,Wisconsin,664
2016,Wyoming,101
2015,Alabama,958
2015,Alaska,177
2015,Arizona,970
2015,Arkansas,520
2015,California,3095
2015,Colorado,701
2015,Connecticut,189
2015,Delaware,112
2015,Florida,2559
2015,Georgia,1448
2015,Hawaii,55
2015,Idaho,247
2015,Illinois,1220
2015,Indiana,846
2015,Iowa,247
2015,Kansas,330
2015,Kentucky,694
2015,Louisiana,952
2015,Maine,144
2015,Maryland,708
2015,Massachusetts,213
2015,Michigan,1164
2015,Minnesota,410
2015,Mississippi,589
2015,Missouri,1094
2015,Montana,205
2015,Nebraska,169
2015,Nevada,446
2015,New Hampshire,121
2015,New Jersey,475
2015,New Mexico,390
2015,New York,849
2015,North Carolina,1289
2015,North Dakota,92
2015,Ohio,1397
2015,Oklahoma,706
2015,Oregon,486
2015,Pennsylvania,1485
2015,Rhode Island,51
2015,South Carolina,850
2015,South Dakota,96
2015,Tennessee,1075
2015,Texas,3203
2015,Utah,367
2015,Vermont,70
2015,Virginia,946
2015,Washington,718
2015,West Virginia,278
2015,Wisconsin,613
2015,Wyoming,113
2014,Alabama,815
2014,Alaska,145
2014,Arizona,927
2014,Arkansas,496
2014,California,2942
2014,Colorado,663
2014,Connecticut,187
2014,Delaware,102
2014,Florida,2410
2014,Georgia,1391
2014,Hawaii,40
2014,Idaho,213
2014,Illinois,1179
2014,Indiana,818
2014,Iowa,241
2014,Kansas,329
2014,Kentucky,634
2014,Louisiana,896
2014,Maine,133
2014,Maryland,546
2014,Massachusetts,226
2014,Michigan,1095
2014,Minnesota,377
2014,Mississippi,547
2014,Missouri,943
2014,Montana,172
2014,Nebraska,179
2014,Nevada,429
2014,New Hampshire,122
2014,New Jersey,468
2014,New Mexico,340
2014,New York,875
2014,North Carolina,1206
2014,North Dakota,96
2014,Ohio,1211
2014,Oklahoma,611
2014,Oregon,497
2014,Pennsylvania,1390
2014,Rhode Island,34
2014,South Carolina,767
2014,South Dakota,89
2014,Tennessee,1016
2014,Texas,2848
2014,Utah,337
2014,Vermont,69
2014,Virginia,889
2014,Washington,702
2014,West Virginia,286
2014,Wisconsin,487
2014,Wyoming,93
