State,Incident Date,# Killed,Age
Pennsylvania,"February 27, 2020",1,Adult
Missouri,"February 27, 2020",1,Adult
Texas,"February 26, 2020",1,Adult
Illinois,"February 25, 2020",1,Adult
Florida,"February 25, 2020",1,Adult
Florida,"February 25, 2020",1,Adult
Texas,"February 23, 2020",1,Adult
Tennessee,"February 23, 2020",1,Adult
Arizona,"February 22, 2020",1,Adult
Florida,"February 21, 2020",1,Adult
Florida,"February 20, 2020",1,Adult
Arkansas,"February 20, 2020",1,Adult
Oklahoma,"February 16, 2020",1,Adult
Ohio,"February 16, 2020",1,Adult
Kentucky,"February 16, 2020",1,Adult
Georgia,"February 16, 2020",2,Adult
Tennessee,"February 16, 2020",1,Adult
Georgia,"February 14, 2020",1,Adult
Florida,"February 13, 2020",1,Adult
Ohio,"February 13, 2020",1,Adult
New York,"February 12, 2020",1,Adult
Nebraska,"February 12, 2020",1,Adult
District of Columbia,"February 12, 2020",1,Adult
Louisiana,"February 9, 2020",1,Adult
Pennsylvania,"February 9, 2020",1,Adult
New Jersey,"February 7, 2020",1,Adult
Louisiana,"February 7, 2020",1,Adult
South Carolina,"February 6, 2020",1,Adult
California,"February 6, 2020",1,Adult
Michigan,"February 4, 2020",1,Adult
Ohio,"February 2, 2020",1,Adult
South Carolina,"February 2, 2020",1,Adult
Alabama,"February 2, 2020",1,Adult
Ohio,"February 1, 2020",1,Adult
Tennessee,"February 1, 2020",1,Adult
Ohio,"February 1, 2020",1,Adult
Virginia,"February 1, 2020",1,Adult
Texas,"January 31, 2020",1,Adult
Illinois,"January 31, 2020",1,Adult
Pennsylvania,"January 30, 2020",1,Adult
Alabama,"January 30, 2020",1,Adult
Washington,"January 28, 2020",1,Adult
Ohio,"January 26, 2020",1,Adult
Ohio,"January 26, 2020",1,Adult
Ohio,"January 25, 2020",1,Adult
Alabama,"January 25, 2020",1,Adult
Louisiana,"January 25, 2020",1,Adult
Arizona,"January 23, 2020",1,Adult
Washington,"January 22, 2020",1,Adult
Texas,"January 22, 2020",1,Adult
Texas,"January 22, 2020",1,Adult
Louisiana,"January 22, 2020",1,Adult
Georgia,"January 22, 2020",1,Adult
Wisconsin,"January 20, 2020",1,Adult
North Carolina,"January 20, 2020",1,Adult
Indiana,"January 19, 2020",1,Adult
California,"January 17, 2020",1,Adult
Georgia,"January 17, 2020",1,Adult
Texas,"January 17, 2020",1,Adult
Texas,"January 14, 2020",1,Adult
Florida,"January 12, 2020",1,Adult
North Carolina,"January 11, 2020",1,Adult
Kentucky,"January 8, 2020",1,Adult
Missouri,"January 5, 2020",1,Adult
Tennessee,"January 4, 2020",1,Adult
Maryland,"January 3, 2020",1,Adult
Virginia,"January 1, 2020",1,Adult
Tennessee,"January 1, 2020",1,Adult
Ohio,"January 1, 2020",1,Adult
Maryland,"January 1, 2020",1,Adult
Texas,"January 1, 2020",1,Adult
Virginia,"January 1, 2020",1,Adult
South Carolina,"January 1, 2020",2,Adult
Tennessee,"December 31, 2019",1,Adult
Oklahoma,"December 29, 2019",1,Adult
Missouri,"December 28, 2019",1,Adult
